Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Date,Latitude,Longitude
Delhi,5,0,2020-03-11,28.7041,77.1025
Haryana,0,14,2020-03-11,29.0588,76.0856
Kerala,17,0,2020-03-11,10.8505,76.2711
Rajasthan,1,2,2020-03-11,27.0238,74.2179
Telengana,1,0,2020-03-11,18.1124,79.0193
Uttar Pradesh,9,0,2020-03-11,26.8467,80.9462
Union Territory of Ladakh,2,0,2020-03-11,34.2996,78.2932
Tamil Nadu,1,0,2020-03-11,11.1271,78.6569
Union Territory of Jammu and Kashmir,1,0,2020-03-11,33.7782,76.5762
Punjab,1,0,2020-03-11,31.1471,75.3412
Karnataka,4,0,2020-03-11,15.3173,75.7139
Maharashtra,2,0,2020-03-11,19.7515,75.7139
