Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,3,0,0,0,20-03-2020,15.9129,79.74
Chhattisgarh,1,0,0,0,20-03-2020,21.2787,81.8661
Delhi,16,1,5,1,20-03-2020,28.7041,77.1025
Gujarat,5,0,0,0,20-03-2020,22.2587,71.1924
Haryana,3,14,0,0,20-03-2020,29.0588,76.0856
Karnataka,15,0,1,1,20-03-2020,15.3173,75.7139
Kerala,26,2,3,0,20-03-2020,10.8505,76.2711
Maharashtra,49,3,0,1,20-03-2020,19.7515,75.7139
Odisha,2,0,0,0,20-03-2020,20.9517,85.0985
Puducherry,1,0,0,0,20-03-2020,11.9416,79.8083
Punjab,2,0,0,1,20-03-2020,31.1471,75.3412
Rajasthan,15,2,3,0,20-03-2020,27.0238,74.2179
Tamil Nadu,3,0,1,0,20-03-2020,11.1271,78.6569
Telengana,8,9,1,0,20-03-2020,18.1124,79.0193
Union Territory of Chandigarh,1,0,0,0,20-03-2020,30.7333,76.7794
Union Territory of Jammu and Kashmir,4,0,0,0,20-03-2020,33.7782,76.5762
Union Territory of Ladakh,10,0,0,0,20-03-2020,34.2996,78.2932
Uttar Pradesh,22,1,9,0,20-03-2020,26.8467,80.9462
Uttarakhand,3,0,0,0,20-03-2020,30.0668,79.0193
West Bengal,2,0,0,0,20-03-2020,22.9868,87.855
